Year,Region,Region code,Country,Country Code,Indicator coverage and disaggregation,Data available last 5 years,Data available last 10 years,"First administrative level
","Second administrative level
",Coverage subscore,"Machine readable
",Non-proprietary,"Download options
","Metadata available
","Terms of use
",Openness subscore,Overall score,,Old OGDI Overall
2020,Caribbean,AMC,Haiti,HTI,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.00,0.0,,0
2020,Central Asia,ASC,Turkmenistan,TKM,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.00,0.0,,0
2020,Caribbean,AMC,Anguilla,AIA,15.0,5.0,10.0,0.0,-,7.69,0.0,20.0,10.0,15.0,0.0,9.10,8.4,,8.33
2020,Southern Europe,EUZ,San Marino,SMR,15.0,15.0,15.0,5.6,-,12.82,0.0,20.0,5.0,10.0,0.0,7.08,9.6,,8.5
2020,Southern Africa,AFZ,Eswatini,SWZ,25.0,0.0,0.0,0.0,0.0,5.10,0.0,40.0,20.0,20.0,0.0,16.00,10.6,,10.83
2020,Northern Africa,AFN,Libya,LBY,40.0,5.0,10.0,15.0,0.0,14.29,0.0,0.0,15.0,30.0,0.0,9.00,11.6,,11.5
2020,Middle Africa,AFM,Gabon,GAB,25.0,15.0,10.0,5.0,0.0,11.22,0.0,40.0,20.0,20.0,0.0,16.00,13.6,,13.5
2020,Eastern Asia,ASF,China,CHN,25.0,25.0,25.0,0.0,0.0,15.31,0.0,50.0,20.0,15.0,0.0,17.00,16.2,,16
2020,Caribbean,AMC,St. Kitts and Nevis,KNA,25.0,5.0,0.0,11.1,-,10.26,30.0,20.0,15.0,15.0,30.0,22.25,16.9,,15
2020,Middle Africa,AFM,Equatorial Guinea,GNQ,35.0,20.0,5.0,5.0,0.0,13.27,0.0,60.0,20.0,30.0,0.0,22.00,17.7,,17.5
2020,Eastern Africa,AFE,Mozambique,MOZ,25.0,25.0,25.0,15.0,0.0,18.37,10.0,40.0,5.0,30.0,0.0,17.00,17.7,,17.5
2020,Western Africa,AFW,Guinea-Bissau,GNB,35.0,5.0,10.0,15.0,0.0,13.27,0.0,60.0,30.0,30.0,0.0,24.00,18.7,,18.83
2020,Eastern Africa,AFE,South Sudan,SSD,20.0,10.0,5.0,5.0,0.0,8.16,40.0,40.0,40.0,20.0,20.0,32.00,20.2,,20.56
2020,Pacific Islands,OPI,Papua New Guinea,PNG,50.0,0.0,0.0,10.0,0.0,12.24,0.0,70.0,35.0,35.0,0.0,28.00,20.2,,20.33
2020,Western Asia,ASW,Syrian Arab Republic,SYR,35.0,30.0,25.0,15.0,0.0,21.43,20.0,40.0,15.0,30.0,0.0,21.00,21.2,,21.39
2020,Northern Africa,AFN,Algeria,DZA,40.0,35.0,35.0,10.0,0.0,24.49,5.0,60.0,10.0,30.0,0.0,21.00,22.7,,22.5
2020,Eastern Africa,AFE,Djibouti,DJI,45.0,25.0,15.0,15.0,0.0,20.41,25.0,60.0,35.0,30.0,5.0,31.00,25.8,,25.94
2020,Central America,AMM,Nicaragua,NIC,45.0,40.0,35.0,25.0,11.1,31.63,5.0,60.0,10.0,30.0,0.0,21.00,26.3,,26.39
2020,Western Africa,AFW,Mauritania,MRT,55.0,25.0,20.0,20.0,0.0,24.49,10.0,70.0,20.0,30.0,10.0,28.00,26.3,,26.33
2020,Southern Europe,EUZ,Andorra,ADO,30.0,30.0,30.0,11.1,-,25.64,40.0,40.0,35.0,20.0,0.0,27.22,26.4,,26.11
2020,Pacific Islands,OPI,Palau,PLW,50.0,30.0,30.0,22.2,-,33.33,10.0,60.0,15.0,30.0,0.0,23.26,27.5,,24.5
2020,Middle Africa,AFM,Chad,TCD,60.0,5.0,5.0,35.0,0.0,21.43,10.0,80.0,35.0,45.0,0.0,34.00,27.8,,27.94
2020,Western Europe,EUW,Belgium,BEL,40.0,40.0,35.0,25.0,16.7,31.63,45.0,35.0,25.0,25.0,0.0,26.00,28.8,,28.5
2020,Pacific Islands,OPI,"Micronesia, Fed. Sts.",FSM,45.0,5.0,0.0,38.9,-,21.79,55.0,60.0,30.0,30.0,0.0,35.39,29.2,,28.89
2020,Pacific Islands,OPI,Fiji,FJI,55.0,35.0,30.0,15.0,5.6,28.57,0.0,90.0,25.0,40.0,0.0,31.00,29.8,,29.78
2020,Caribbean,AMC,Trinidad and Tobago,TTO,65.0,15.0,10.0,20.0,0.0,22.45,50.0,70.0,40.0,35.0,0.0,39.00,30.8,,30.83
2020,Western Africa,AFW,Liberia,LBR,60.0,35.0,15.0,20.0,11.1,28.57,10.0,75.0,40.0,40.0,0.0,33.00,30.8,,30.89
2020,Caribbean,AMC,Antigua and Barbuda,ATG,45.0,20.0,25.0,11.1,-,25.64,25.0,50.0,20.0,30.0,50.0,35.39,30.9,,27.5
2020,Eastern Africa,AFE,Ethiopia,ETH,55.0,45.0,25.0,30.0,5.6,32.65,0.0,80.0,30.0,40.0,0.0,30.00,31.3,,31.44
2020,Caribbean,AMC,The Bahamas,BHS,60.0,25.0,25.0,5.0,0.0,23.47,0.0,90.0,45.0,60.0,0.0,39.00,31.3,,31
2020,Caribbean,AMC,Dominica,DMA,40.0,10.0,10.0,0.0,-,15.38,40.0,60.0,30.0,30.0,60.0,44.49,31.5,,28
2020,Eastern Africa,AFE,Madagascar,MDG,50.0,25.0,10.0,35.0,0.0,24.49,15.0,80.0,45.0,40.0,15.0,39.00,31.8,,31.5
2020,Southern Europe,EUZ,Bosnia and Herzegovina,BIH,65.0,40.0,20.0,35.0,0.0,32.65,0.0,70.0,25.0,60.0,0.0,31.00,31.8,,31.5
2020,Pacific Islands,OPI,Solomon Islands,SLB,65.0,30.0,10.0,25.0,0.0,26.53,20.0,85.0,35.0,45.0,0.0,37.00,31.8,,31.94
2020,Central Asia,ASC,Tajikistan,TJK,50.0,45.0,45.0,15.0,0.0,31.63,45.0,45.0,25.0,45.0,0.0,32.00,31.8,,31.83
2020,Western Asia,ASW,Qatar,QAT,55.0,40.0,40.0,10.0,0.0,29.59,35.0,70.0,25.0,35.0,10.0,35.00,32.3,,32
2020,Northern Africa,AFN,Egypt,EGY,60.0,50.0,40.0,30.0,0.0,36.73,0.0,80.0,25.0,35.0,0.0,28.00,32.3,,32
2020,Middle Africa,AFM,"Congo, Rep.",COG,70.0,0.0,0.0,30.0,0.0,20.41,0.0,100.0,50.0,75.0,0.0,45.00,32.8,,32.94
2020,Western Africa,AFW,Cote d'Ivoire,CIV,80.0,35.0,5.0,10.0,11.1,28.57,10.0,90.0,40.0,45.0,0.0,37.00,32.8,,32.83
2020,South America,AMZ,Colombia,COL,40.0,40.0,40.0,30.0,11.1,32.65,50.0,0.0,20.0,45.0,50.0,33.00,32.8,,32.5
2020,Eastern Africa,AFE,Seychelles,SYC,45.0,30.0,30.0,11.1,-,29.49,20.0,75.0,30.0,40.0,15.0,36.40,33.1,,32.77
2020,Eastern Asia,ASF,"Macao SAR, China",MAC,40.0,40.0,40.0,0.0,-,30.77,50.0,60.0,10.0,30.0,25.0,35.39,33.1,,32.77
2020,Pacific Islands,OPI,Marshall Islands,MHL,60.0,25.0,20.0,11.1,-,29.49,0.0,80.0,40.0,65.0,0.0,36.85,33.7,,33.88
2020,Middle Africa,AFM,Sao Tome and Principe,STP,65.0,25.0,25.0,16.7,-,33.33,0.0,80.0,40.0,50.0,0.0,33.82,33.7,,33.81
2020,Western Asia,ASW,Armenia,ARM,85.0,65.0,55.0,25.0,0.0,46.94,30.0,100.0,35.0,55.0,0.0,44.00,45.5,,45.44
2020,Western Africa,AFW,Togo,TGO,75.0,20.0,10.0,45.0,0.0,30.61,10.0,90.0,40.0,45.0,0.0,37.00,33.8,,33.83
2020,Southern Asia,ASZ,"Iran, Islamic Rep.",IRN,65.0,35.0,45.0,20.0,0.0,33.67,30.0,75.0,35.0,30.0,0.0,34.00,33.8,,33.5
2020,Eastern Africa,AFE,Burundi,BDI,45.0,35.0,35.0,0.0,0.0,23.47,35.0,70.0,45.0,40.0,35.0,45.00,34.3,,34.56
2020,Western Asia,ASW,Kuwait,KWT,55.0,50.0,45.0,10.0,0.0,32.65,45.0,75.0,20.0,40.0,0.0,36.00,34.3,,34
2020,Southern Asia,ASZ,Pakistan,PAK,55.0,45.0,40.0,45.0,11.1,39.80,0.0,80.0,20.0,45.0,0.0,29.00,34.3,,34.44
2020,Southern Europe,EUZ,Malta,MLT,40.0,25.0,25.0,16.7,-,26.92,20.0,60.0,25.0,40.0,60.0,41.46,34.8,,34.43
2020,Southern Asia,ASZ,Bangladesh,BGD,70.0,40.0,25.0,25.0,5.6,33.67,0.0,90.0,35.0,55.0,0.0,36.00,34.8,,34.83
2020,Western Asia,ASW,Lebanon,LBN,60.0,20.0,15.0,40.0,5.6,28.57,60.0,65.0,40.0,45.0,0.0,42.00,35.4,,35
2020,Southern Africa,AFZ,Lesotho,LSO,70.0,30.0,20.0,20.0,0.0,28.57,20.0,90.0,40.0,55.0,5.0,42.00,35.4,,34.44
2020,Western Asia,ASW,Yemen,YEM,80.0,35.0,35.0,35.0,0.0,37.76,75.0,20.0,25.0,45.0,0.0,33.00,35.4,,34.33
2020,South-Eastern Asia,ASE,Lao PDR,LAO,60.0,40.0,20.0,30.0,0.0,30.61,35.0,80.0,50.0,40.0,0.0,41.00,35.9,,35.94
2020,Western Africa,AFW,Niger,NER,75.0,25.0,25.0,30.0,0.0,31.63,5.0,100.0,45.0,50.0,0.0,40.00,35.9,,36
2020,Southern Asia,ASZ,Bhutan,BTN,70.0,50.0,40.0,25.0,0.0,37.76,5.0,100.0,15.0,50.0,0.0,34.00,35.9,,35.72
2020,Southern Asia,ASZ,Nepal,NPL,75.0,40.0,35.0,25.0,16.7,38.78,0.0,90.0,30.0,45.0,0.0,33.00,35.9,,35.89
2020,Western Europe,EUW,Liechtenstein,LIE,40.0,40.0,35.0,22.2,-,34.62,40.0,50.0,35.0,30.0,30.0,36.85,36.0,,36.05
2020,Central America,AMM,Guatemala,GTM,65.0,40.0,45.0,35.0,0.0,37.76,50.0,70.0,20.0,40.0,0.0,36.00,36.9,,36.5
2020,Southern Asia,ASZ,Afghanistan,AFG,75.0,50.0,35.0,25.0,5.6,38.78,5.0,100.0,20.0,50.0,0.0,35.00,36.9,,36.83
2020,Central America,AMM,Belize,BLZ,70.0,40.0,35.0,30.0,0.0,35.71,25.0,85.0,40.0,45.0,0.0,39.00,37.4,,37.39
2020,Western Africa,AFW,Cabo Verde,CPV,50.0,45.0,30.0,45.0,0.0,34.69,50.0,70.0,40.0,45.0,0.0,41.00,37.9,,37.94
2020,South-Eastern Asia,ASE,Thailand,THA,70.0,55.0,45.0,10.0,0.0,36.73,30.0,100.0,25.0,40.0,0.0,39.00,37.9,,37.78
2020,South America,AMZ,Guyana,GUY,65.0,35.0,25.0,10.0,0.0,27.55,25.0,75.0,35.0,30.0,80.0,49.00,38.4,,38.61
2020,Middle Africa,AFM,Angola,AGO,70.0,50.0,30.0,30.0,0.0,36.73,10.0,100.0,40.0,50.0,0.0,40.00,38.4,,38.39
2020,Eastern Africa,AFE,Somalia,SOM,65.0,35.0,0.0,20.0,0.0,24.49,0.0,90.0,40.0,45.0,90.0,53.00,38.9,,37
2020,South America,AMZ,Chile,CHL,45.0,45.0,40.0,30.0,16.7,35.71,45.0,80.0,40.0,45.0,0.0,42.00,38.9,,38.89
2020,South America,AMZ,Argentina,ARG,65.0,55.0,45.0,30.0,11.1,41.84,75.0,40.0,25.0,45.0,0.0,37.00,39.4,,39.33
2020,Northern Europe,EUN,United Kingdom,GBR,45.0,45.0,45.0,25.0,16.7,35.71,60.0,25.0,30.0,45.0,60.0,44.00,39.9,,39.5
2020,Northern Africa,AFN,Tunisia,TUN,60.0,40.0,30.0,30.0,0.0,32.65,35.0,80.0,40.0,45.0,40.0,48.00,40.4,,40.44
2020,Central America,AMM,El Salvador,SLV,65.0,45.0,60.0,25.0,5.6,40.82,40.0,85.0,35.0,40.0,0.0,40.00,40.4,,40.22
2020,Caribbean,AMC,Cuba,CUB,55.0,50.0,40.0,35.0,33.3,42.86,25.0,80.0,15.0,70.0,0.0,38.00,40.4,,40
2020,Eastern Africa,AFE,Kenya,KEN,75.0,40.0,35.0,50.0,11.1,42.86,0.0,100.0,35.0,55.0,0.0,38.00,40.4,,40.39
2020,Western Africa,AFW,Ghana,GHA,85.0,40.0,30.0,50.0,11.1,43.88,0.0,100.0,40.0,50.0,0.0,38.00,40.9,,40.89
2020,South-Eastern Asia,ASE,Timor-Leste,TLS,80.0,40.0,40.0,45.0,11.1,43.88,10.0,100.0,30.0,50.0,0.0,38.00,40.9,,40.94
2020,Western Africa,AFW,Guinea,GIN,80.0,45.0,45.0,45.0,5.6,44.90,0.0,100.0,35.0,50.0,0.0,37.00,40.9,,40.94
2020,South America,AMZ,Uruguay,URY,50.0,45.0,40.0,20.0,0.0,31.63,70.0,50.0,30.0,35.0,70.0,51.00,41.4,,41.5
2020,Western Asia,ASW,Saudi Arabia,SAU,65.0,55.0,35.0,25.0,0.0,36.73,90.0,70.0,35.0,45.0,0.0,48.00,42.4,,42.5
2020,South America,AMZ,Bolivia,BOL,60.0,50.0,50.0,25.0,5.6,38.78,75.0,65.0,50.0,40.0,0.0,46.00,42.4,,42
2020,South America,AMZ,Paraguay,PRY,75.0,55.0,50.0,40.0,5.6,45.92,50.0,70.0,25.0,50.0,0.0,39.00,42.4,,42.67
2020,Western Africa,AFW,The Gambia,GMB,80.0,45.0,20.0,35.0,27.8,41.84,50.0,90.0,30.0,45.0,5.0,44.00,42.9,,43
2020,Eastern Africa,AFE,Uganda,UGA,90.0,55.0,45.0,10.0,5.6,41.84,25.0,100.0,30.0,65.0,0.0,44.00,42.9,,42.89
2020,Central Asia,ASC,Kyrgyz Republic,KGZ,65.0,55.0,60.0,35.0,0.0,43.88,55.0,40.0,40.0,35.0,40.0,42.00,42.9,,43.17
2020,Pacific Islands,OPI,Tonga,TON,75.0,45.0,10.0,22.2,-,38.46,20.0,100.0,45.0,50.0,20.0,47.19,43.3,,40.33
2020,South-Eastern Asia,ASE,Brunei Darussalam,BRN,60.0,50.0,40.0,10.0,0.0,32.65,90.0,90.0,45.0,45.0,0.0,54.00,43.4,,43.44
2020,Western Asia,ASW,Jordan,JOR,75.0,45.0,50.0,35.0,0.0,41.84,50.0,90.0,40.0,45.0,0.0,45.00,43.4,,43.33
2020,Eastern Asia,ASF,Taiwan,TWN,45.0,45.0,45.0,25.0,0.0,32.65,65.0,70.0,35.0,45.0,60.0,55.00,43.9,,43.5
2020,South-Eastern Asia,ASE,Vietnam,VNM,65.0,45.0,40.0,40.0,0.0,38.78,60.0,90.0,55.0,40.0,0.0,49.00,43.9,,44.06
2020,Middle Africa,AFM,"Congo, Dem. Rep.",COD,85.0,30.0,30.0,45.0,0.0,38.78,10.0,90.0,40.0,60.0,45.0,49.00,43.9,,44
2020,Southern Africa,AFZ,Botswana,BWA,75.0,50.0,40.0,5.0,0.0,34.69,20.0,90.0,30.0,45.0,85.0,54.00,44.4,,44.61
